x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,Y
99.5,89.831,-0.83,3.19,10.95,2.634,8.17,8.24,98.28,9.5,8.17,85.7,1286.7,3,10,828.4,814.4,0,38.62,162,162,161.7,162,162.1,161.6,162.1,162,162,162,161.8,162.1,162.1,161.9,162.1,162,34.3,0
98.5,89.868,0.41,3.2,10.43,2.624,8.13,8.19,98.31,9.5,8.14,84,1281.9,2.9,10.5,828.2,814.4,0,38.62,162,162,162,162.8,162.8,162,162,162,162.1,162,162,162.5,162.4,162,162,162,35.1,1
98.7,89.889,0.93,3.2,10.52,2.633,8.07,8.12,98.28,9.5,8.09,84.3,1283.4,2.9,9.7,827.9,813.6,0,38.52,162,162,162,162.7,162.8,162,162,162,161.9,162,162,162.4,162.3,162,162,162,34.4,0
100,89.921,0,3.21,11.2,2.613,8.07,8.12,98.28,9.5,8.08,84.1,1270.6,2.8,9.6,829.5,814.9,0,38.63,162,162.1,162,162.3,162.6,162.1,161.9,162.1,162,162,162,162,162,162.1,162,162.1,35.1,0
97.1,89.877,-1.01,3.19,11.44,2.613,8.07,8.13,98.26,9.5,8.08,84.2,1273.6,2.8,9.7,829.3,815,0,38.53,162,162,162,162.8,162.9,162,162,162,162,162,162,162.4,162.4,162,162,162,34.9,0
99.5,89.812,0.35,3.19,11.19,2.644,8.14,8.18,98.26,9.5,8.14,84.1,1287.6,2.4,9.7,829.1,815.3,0,38.54,162,162,162,162.9,162.9,162,162,162,162,162,162,162.4,162.3,162,162,162,34,0
99.2,89.947,-0.84,3.19,11.28,2.615,8.03,8.1,98.28,9.5,8.03,83.6,1272.1,2.9,9.9,829.3,815.6,0,38.53,162,162,162,162.9,162.9,162,162,162,161.9,162,162,162.5,162.4,162,161.9,162,34.4,0
97.6,89.9,-1.11,3.19,11.21,2.609,8.06,8.12,98.25,9.5,8.07,83.2,1271.9,2.7,9.5,829.6,815.5,0,38.63,162,162,162,162.9,162.9,162,162,162,161.9,162,162,162.5,162.5,162,162,162,34.9,0
99,89.875,0.45,3.09,10.22,2.586,8.11,8.17,98.32,9.5,8.12,81.6,1287.9,2.7,9.7,829.5,814.7,0,38.52,162,162,162,162.8,162.9,162,162,162,162,162,162,162.5,162.5,161.9,162,162,33.7,0
98.2,89.85,-0.37,3.09,10.45,2.57,8.12,8.18,98.31,9.5,8.12,81.8,1282.2,2.6,9.6,828.8,814.3,0,38.43,162,162,162,162.8,163,162,162.1,162,162,162,162,162.5,162.5,162,162,162,35.1,0
98.1,89.902,-1.09,3.08,10.59,2.551,8.05,8.12,98.3,9.5,8.06,80.7,1272.8,2.7,9.8,829.5,815,0,38.53,162,162,162,162.6,162.8,162,162,162,162,162.1,162,162.4,162.5,162,162,162,35,0
99.3,89.936,-0.3,3.08,10.46,2.568,8.07,8.14,98.31,9.5,8.07,80.7,1278.4,2.7,9.8,829.4,815.6,0,38.46,162,162,162,162.6,162.8,162,162,162,161.9,161.9,162,162.3,162.4,162,162,162,34.3,0
99,89.914,-0.16,3.09,10.5,2.571,8.09,8.15,98.32,9.5,8.09,80.2,1279.5,2.9,9.7,830.8,816.1,0.18,38.54,162,162,162,162.6,162.7,162,162,162,162,162,162,162.2,162.4,162,162,162.1,34.8,0
99.4,89.886,0.25,3.09,10.42,2.582,8.1,8.16,98.32,9.5,8.1,81.6,1285.9,2.7,9.4,830,815.4,0,38.54,162,162,162,162.5,162.8,161.9,161.9,162,162,162,162.1,162.4,162.5,162.1,162,161.9,34.7,1
99.1,89.934,-0.59,3.09,10.02,2.564,8.09,8.15,98.35,9.5,8.09,80.2,1276.9,2.8,9.7,829.1,815.1,0,38.43,162,162,162,162.6,162.8,162,162,162,162,162,162,162.4,162.4,162,162,162.1,34.9,0
97.9,89.878,-0.6,3.08,10.13,2.564,8.1,8.18,98.31,9.5,8.1,80.9,1279.2,2.6,10.2,829.1,814.9,0,38.45,162,162,162,162.6,162.7,162,162,161.9,162,162,162,162.5,162.5,162,162,162,34.2,0
96.5,89.894,-0.87,3.08,10.06,2.561,8.1,8.16,98.32,9.5,8.1,80.7,1278.3,2.8,10.7,828.5,814,0,38.43,162,162,162,162.6,162.8,162,162.1,162,162,162,161.9,162.5,162.5,162,162,162,33.9,0
98.9,89.908,-0.24,3.09,10.02,2.572,8.09,8.16,98.35,9.5,8.1,80.5,1282,3,10.4,828.5,813.7,0,38.53,162,162,162,162.6,162.7,162,162,162,162,162,162,162.5,162.4,162,161.9,162,34.5,0
99.6,89.914,0.22,3.09,10.34,2.582,8.09,8.17,98.32,9.5,8.09,80.3,1285.7,2.9,10.4,828.8,817.6,0,38.52,162,162,162,162.6,162.8,162,162,162,162,162,162,162.4,162.5,162,162,162,34.8,0
99.7,89.902,0.03,3.09,10.19,2.577,8.09,8.15,98.34,9.5,8.09,80.8,1283.8,2.8,10.6,829.2,818,0,38.45,162,161.9,161.9,162.7,162.8,162,162,162,162,162.1,162,162.5,162.5,162,162,162,34.8,0
99,89.931,0.15,3.09,10.2,2.579,8.07,8.13,98.34,9.5,8.08,81.4,1283.8,2.7,9.6,829.3,814.7,0,38.53,162,162,162,162.6,162.8,162,162,162,162,162,162,162.5,162.5,162,162,162,34.7,0
98.7,89.95,-0.21,3.08,10.53,2.569,8.01,8.08,98.3,9.5,8.02,80,1279,2.8,10.5,829.3,814.5,0.16,38.52,162,162,162,162.7,162.8,162,162,162,162,162,162,162.4,162.5,162.1,162,162,33.8,0
